id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city,price_eur,host_listing_group
17402,Superb 3-Bed/2 Bath & Wifi: Trendy W1,67564,Liz,,Westminster,51.52098,-0.14002,Entire home/apt,300,3,41,2019-06-19,0.39,15.0,251,London,348.0,11 a 50 alojamientos
38610,CHARMING FAMILY HOME SLEEPS 10,165579,Elisa & Dom,,Hammersmith and Fulham,51.50819,-0.23284,Entire home/apt,296,5,32,2019-10-19,0.36,2.0,38,London,343.35999999999996,2 a 4 alojamientos
93783,Shown on T.V! Notting Hill Oasis ,502496,Darshi Rowan And Tara,,Westminster,51.51826,-0.19499,Entire home/apt,300,2,15,2019-09-07,0.15,2.0,214,London,348.0,2 a 4 alojamientos
214755,"Luxury designer 2 bed flat, heart of Notting Hill",1026967,James,,Kensington and Chelsea,51.51164,-0.20278,Entire home/apt,400,3,12,2019-10-22,1.62,1.0,78,London,463.99999999999994,1 alojamiento
109226,Lovely two bedroom Islington home.,564310,James,,Islington,51.54089,-0.089,Entire home/apt,250,10,5,2014-12-08,0.07,1.0,127,London,290.0,1 alojamiento
55706,Amazing 2 bed 2 bath flat in central London,211108,Simon,,Westminster,51.49588,-0.1544,Entire home/apt,250,1,83,2019-10-30,0.76,3.0,118,London,290.0,2 a 4 alojamientos
127860,Double bedroom in cottage Twickenham (sleeps 1-2),161720,Andy,,Richmond upon Thames,51.44715,-0.33925,Private room,1000,2,0,,0.06999999999999999,1.0,0,London,1160.0,1 alojamiento
62970,Exquisite 3bed w/patio near Liverpool Street,133271,Hendryks,,Tower Hamlets,51.52478,-0.06965,Entire home/apt,350,2,152,2019-10-21,1.41,5.0,10,London,406.0,5 a 10 alojamientos
249395,Gorgeous house for summer in London,1291505,Vanessa,,Islington,51.55588,-0.13372,Entire home/apt,300,7,2,2015-04-29,0.02,1.0,0,London,348.0,1 alojamiento
75120,A Fab Family house in Kensington,183658,Maria,,Hammersmith and Fulham,51.49389,-0.20418,Entire home/apt,400,2,121,2019-11-03,1.37,2.0,309,London,463.99999999999994,2 a 4 alojamientos
170524,STUNNING APT IN ST JAMES,194769,S,,Westminster,51.50689,-0.14202,Entire home/apt,700,14,0,,1.05,3.0,365,London,812.0,2 a 4 alojamientos
172811,Nice double bedroom in NW London,806983,Elinor,,Camden,51.54586,-0.18,Entire home/apt,300,21,0,,0.06999999999999999,1.0,0,London,348.0,1 alojamiento
81410,LUx inCENTRAL LONDON NEAR OXFORD ST,441494,Fernando,,Westminster,51.52123,-0.14033,Entire home/apt,400,2,196,2019-10-20,1.93,4.0,322,London,463.99999999999994,2 a 4 alojamientos
81470,3 bedroom / 2 Bathroom house in West London,441886,William & Emilia,,Hammersmith and Fulham,51.4971,-0.23354,Entire home/apt,300,4,78,2019-10-08,0.76,4.0,46,London,348.0,2 a 4 alojamientos
279022,"Maida Vale, modern house with garden and office!",639749,Farzam,,Westminster,51.52864,-0.18484,Entire home/apt,950,30,0,,0.5900000000000001,2.0,365,London,1102.0,2 a 4 alojamientos
288410,Apartment in the heart of Bayswater,1357630,Chung Han,,Westminster,51.5115,-0.18749,Entire home/apt,250,1,25,2019-10-06,0.26,2.0,339,London,290.0,2 a 4 alojamientos
288857,"London Bridge, Zipstays, Dbl/Twin beds",1500877,John,,Southwark,51.50507,-0.08375,Entire home/apt,275,6,16,2019-09-28,0.17,2.0,133,London,319.0,2 a 4 alojamientos
290233,Executive House for Olypmic 2012 ,1506151,Portia,,Newham,51.53625,0.0048,Entire home/apt,572,14,0,,0.662,1.0,365,London,663.52,1 alojamiento
385019,Gorgeous apartment nr Olympics!,1927072,Helen,,Hackney,51.55698,-0.07609,Entire home/apt,310,7,0,,0.06999999999999999,1.0,0,London,359.59999999999997,1 alojamiento
290923,Architect designed Camden canalside townhouse,1508385,Neema,,Camden,51.54167,-0.14058,Entire home/apt,275,2,17,2018-04-22,0.24,1.0,0,London,319.0,1 alojamiento
345321,2 Bed Flat 5 mins from Olympic Park,1751472,Leona,,Newham,51.53338,-0.00996,Entire home/apt,300,14,0,,0.662,1.0,365,London,348.0,1 alojamiento
347436,"Olympics, sleep 4, beautiful house",1666422,Stephen,,Camden,51.55025,-0.18445,Private room,388,2,0,,0.5900000000000001,2.0,365,London,450.08,2 a 4 alojamientos
348217,3 Bedroom House by Camden Stables,1621004,Gideon,,Camden,51.544,-0.14509,Entire home/apt,275,2,40,2019-10-02,0.76,4.0,156,London,319.0,2 a 4 alojamientos
303239,STUNNING ACCOMODATION FOR OLYMPICS,1561098,Anouch,,Southwark,51.45361,-0.08876,Private room,368,7,0,,0.662,1.0,365,London,426.88,1 alojamiento
306737,4 bedroom (+nursery) designer pad Belsize Park,1577723,Yael,,Camden,51.54536,-0.16434,Entire home/apt,325,2,30,2019-03-26,0.4,1.0,0,London,377.0,1 alojamiento
356427,4 bed Beautiful west london home,1755482,Liz,,Brent,51.54071,-0.22338,Entire home/apt,250,7,0,,0.662,1.0,365,London,290.0,1 alojamiento
311768,LUXURIOUS  APART.30 MIN LONDON,871053,Doreen &  Nichola,,Merton,51.41755,-0.15309,Entire home/apt,400,2,147,2019-10-13,2.16,7.0,353,London,463.99999999999994,5 a 10 alojamientos
358141,"Luxury 2 Bed Flat & Swimming Pool, Tower Hill.",1812642,Lucy,,Tower Hamlets,51.50671,-0.0699,Entire home/apt,275,4,90,2019-08-30,0.98,2.0,85,London,319.0,2 a 4 alojamientos
325809,Big House for Olympics sleeps 6 to8,1666422,Stephen,,Camden,51.54999,-0.18455,Entire home/apt,776,14,0,,0.5900000000000001,2.0,365,London,900.16,2 a 4 alojamientos
401951,2 Bed Luxury Waterside Apartment,2006285,Kamila,,Tower Hamlets,51.49315,-0.01897,Entire home/apt,360,21,0,,0.662,1.0,365,London,417.59999999999997,1 alojamiento
401972,Sunny 3 bed/2 baths Notting Hill flat near tube,2006404,Sadakat,,Kensington and Chelsea,51.51778,-0.20991,Entire home/apt,280,4,16,2019-08-07,0.2,3.0,343,London,324.79999999999995,2 a 4 alojamientos
406409,Richmond/South West London home,2024791,Will,,Richmond upon Thames,51.45728,-0.32257,Private room,466,4,0,,0.06999999999999999,1.0,0,London,540.56,1 alojamiento
464370,Two Bedroom Riverside Apartment,1429305,Hossam,,Wandsworth,51.46648,-0.15128,Entire home/apt,300,1,33,2018-09-01,0.37,8.0,295,London,348.0,5 a 10 alojamientos
437722,Very Central! Bayswater Apartment,2174619,Adam,,Westminster,51.51299,-0.19159,Private room,500,3,46,2016-05-15,0.51,1.0,365,London,580.0,1 alojamiento
412058,HUGE Shoreditch Warehouse 3 DBL BDR,1764906,Jon,,Hackney,51.52644,-0.07945,Entire home/apt,350,1,151,2019-08-26,1.66,2.0,355,London,406.0,2 a 4 alojamientos
412059,HUGE Shoreditch Warehouse 3 DBL BDR,1764906,Jon,,Hackney,51.526,-0.07928,Entire home/apt,350,1,82,2019-11-02,0.94,2.0,353,London,406.0,2 a 4 alojamientos
413167,Perfect flat for the olympics!,2055742,Oliver,,Hackney,51.56054,-0.09344,Entire home/apt,250,7,0,,0.06999999999999999,1.0,0,London,290.0,1 alojamiento
419786,"Kitchener House, Historic grounds",2087745,Tony,,Greenwich,51.47393,0.05775,Entire home/apt,250,14,0,,0.5900000000000001,2.0,365,London,290.0,2 a 4 alojamientos
443643,Hampstead Heath detached house,1917213,Tony,,Camden,51.55716,-0.14576,Entire home/apt,295,5,0,,0.06999999999999999,1.0,0,London,342.2,1 alojamiento
472083,Spacious Clerkenwell Georgian home,488581,Emily,,Islington,51.5308,-0.11117,Entire home/apt,350,4,8,2017-08-03,0.11,3.0,171,London,406.0,2 a 4 alojamientos
445772,Gorgeous huge 5 b/room house garden,2214214,Michelle,,Brent,51.55432,-0.22721,Entire home/apt,300,2,32,2019-08-18,0.4,1.0,64,London,348.0,1 alojamiento
473637,Brand New contemporary mews house ,359943,Karen,,Kensington and Chelsea,51.51549,-0.2063,Entire home/apt,2000,14,0,,0.48600000000000004,3.0,0,London,2320.0,2 a 4 alojamientos
452552,Beautiful three bedroom house ,2248527,Jim,,Brent,51.54777,-0.23534,Entire home/apt,250,3,0,,0.06999999999999999,1.0,0,London,290.0,1 alojamiento
429045,The Old Coach House (Olympics),2132532,Vv,,Lewisham,51.46921,-0.00767,Entire home/apt,1500,14,0,,0.662,1.0,365,London,1739.9999999999998,1 alojamiento
455277,Luxury double room in Rotherhithe,2098510,James,,Southwark,51.50272,-0.03795,Private room,499,1,2,2014-08-31,0.03,2.0,365,London,578.8399999999999,2 a 4 alojamientos
482685,"Homely, Quaint, Camden Garden Flat",2389626,Mark,,Camden,51.54824,-0.15166,Entire home/apt,250,14,0,,0.662,1.0,365,London,290.0,1 alojamiento
486032,Olympic Rental - Designer Flat,2405795,Gen,,Hackney,51.54698,-0.06182,Entire home/apt,350,7,0,,0.06999999999999999,1.0,0,London,406.0,1 alojamiento
500795,2 Rooms  20  minutes to stadium ,2470948,Adel,,Camden,51.55488,-0.1612,Private room,400,7,0,,0.06999999999999999,1.0,0,London,463.99999999999994,1 alojamiento
458614,Stylish Apartment In Central London,2280455,Manya,,Westminster,51.51897,-0.14686,Entire home/apt,299,3,7,2015-01-04,0.08,1.0,0,London,346.84,1 alojamiento
458818,BEAUTIFUL HOUSE IN SPITALFIELDS,494369,John,,Tower Hamlets,51.51947,-0.07273,Private room,250,1,5,2019-09-10,0.06,1.0,364,London,290.0,1 alojamiento
506980,Kensington Flat During Olympics ,2492503,Nick,,Hammersmith and Fulham,51.49009,-0.21025,Entire home/apt,250,1,0,,0.06999999999999999,1.0,0,London,290.0,1 alojamiento
561187,Lovely Edwardian house opposite prk,1950501,Barbara,,Redbridge,51.56723,0.01892,Entire home/apt,600,1,0,,2.184,4.0,148,London,696.0,2 a 4 alojamientos
